Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Jaden McDaniels,MIN,LAL,L,16,3,8,0.375,0,3,0,0,0,0,0,2,2,1,1,0,1,5,6,0.9,10/22/24
Gabe Vincent,LAL,MIN,W,17.22,1,2,0.5,0,0,0,0,0,0,0,2,2,2,0,0,2,1,2,0.6,10/22/24
Tyler Kolek,NYK,BOS,L,5.4,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,2,0,3,0,10/22/24
Jordan Walsh,BOS,NYK,W,6.08,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10/22/24
Joe Ingles,MIN,LAL,L,6.8,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.4,10/22/24
Neemias Queta,BOS,NYK,W,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,10/22/24
Bronny James,LAL,MIN,W,2.68,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.7,10/22/24
Jacob Toppin,NYK,BOS,L,2.78,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,10/22/24
Payton Pritchard,BOS,NYK,W,24.97,1,10,0.1,1,9,0.111,0,0,0,1,3,4,4,0,0,1,2,3,-1,10/22/24
Max Christie,LAL,MIN,W,11.42,0,3,0,0,3,0,2,2,1,1,1,2,0,0,0,0,5,2,-1.1,10/22/24
LaMelo Ball,CHO,HOU,W,37.92,10,20,0.5,4,12,0.333,10,10,1,1,7,8,11,1,1,2,3,34,33,10/23/24
Lauri Markkanen,UTA,MEM,L,34.57,9,15,0.6,4,7,0.571,13,14,0.929,1,8,9,2,0,0,2,2,35,29.4,10/23/24
Trae Young,ATL,BRK,W,36.67,7,16,0.438,2,6,0.333,14,16,0.875,1,4,5,12,1,1,3,1,30,29.4,10/23/24
Paolo Banchero,ORL,MIA,W,31.2,12,24,0.5,4,8,0.5,5,6,0.833,4,7,11,3,1,1,0,2,33,28.5,10/23/24
Onyeka Okongwu,ATL,BRK,W,28.48,11,12,0.917,0,0,0,6,6,1,4,4,8,1,0,3,2,1,28,28.4,10/23/24
Evan Mobley,CLE,TOR,W,26.95,9,14,0.643,1,2,0.5,6,6,1,4,5,9,3,2,3,1,2,25,27.5,10/23/24
Cam Thomas,BRK,ATL,L,33.72,14,27,0.519,7,13,0.538,1,1,1,2,3,5,3,3,0,2,4,36,26.5,10/23/24
Alperen Sengun,HOU,CHO,L,33.87,10,22,0.455,2,3,0.667,3,4,0.75,6,12,18,5,4,1,3,2,25,25.4,10/23/24
Damian Lillard,MIL,PHI,W,38.3,9,19,0.474,6,12,0.5,6,7,0.857,3,6,9,6,0,0,3,1,30,24.6,10/23/24
Brandon Ingram,NOP,CHI,W,31.47,13,23,0.565,3,5,0.6,4,4,1,2,5,7,2,2,1,3,4,33,24.5,10/23/24
Giannis Antetokounmpo,MIL,PHI,W,31.2,8,11,0.727,0,0,0,9,16,0.563,1,13,14,7,0,1,3,4,25,23.3,10/23/24
Pascal Siakam,IND,DET,W,31.97,8,15,0.533,1,3,0.333,2,3,0.667,3,5,8,9,2,0,0,0,19,23.2,10/23/24
Walker Kessler,UTA,MEM,L,29.58,6,7,0.857,0,0,0,4,5,0.8,6,8,14,1,1,5,2,2,16,22.1,10/23/24
Franz Wagner,ORL,MIA,W,23.1,10,16,0.625,3,6,0.5,0,0,0,1,3,4,4,2,1,0,3,23,21.7,10/23/24
Stephen Curry,GSW,POR,W,25.07,4,10,0.4,3,7,0.429,6,6,1,0,9,9,10,2,0,2,0,17,21.3,10/23/24
Cade Cunningham,DET,IND,L,36.53,10,23,0.435,2,6,0.333,6,6,1,0,5,5,8,1,0,2,2,28,21.2,10/23/24
Ja Morant,MEM,UTA,W,27.93,7,12,0.583,0,2,0,8,9,0.889,0,5,5,10,1,0,3,4,22,20.9,10/23/24
Santi Aldama,MEM,UTA,W,31.43,10,16,0.625,5,10,0.5,2,2,1,2,3,5,2,0,0,2,2,27,20.7,10/23/24
Bradley Beal,PHO,LAC,W,38.47,8,12,0.667,4,6,0.667,4,5,0.8,0,3,3,1,1,1,2,1,24,19.3,10/23/24
CJ McCollum,NOP,CHI,W,29.95,9,19,0.474,5,11,0.455,0,0,0,0,2,2,5,1,1,0,1,23,18.7,10/23/24
Caris LeVert,CLE,TOR,W,20.63,8,9,0.889,2,2,1,1,2,0.5,0,1,1,4,0,0,0,1,19,18.2,10/23/24
Nikola Vučević,CHI,NOP,L,30.7,8,12,0.667,1,2,0.5,4,5,0.8,2,9,11,1,0,0,1,3,21,18,10/23/24
Buddy Hield,GSW,POR,W,14.73,8,12,0.667,5,7,0.714,1,1,1,1,4,5,1,0,0,1,2,22,17.6,10/23/24
Donovan Mitchell,CLE,TOR,W,27.67,7,14,0.5,2,5,0.4,5,7,0.714,0,2,2,3,3,1,2,2,21,16.8,10/23/24
Jarrett Allen,CLE,TOR,W,26.08,5,7,0.714,0,0,0,4,5,0.8,2,5,7,1,1,4,1,1,14,16.7,10/23/24
Tre Mann,CHO,HOU,W,28.95,8,16,0.5,4,8,0.5,4,4,1,3,3,6,1,0,1,3,2,24,16.6,10/23/24
Jalen Duren,DET,IND,L,30.07,4,4,1,0,0,0,5,6,0.833,4,9,13,4,0,0,2,3,13,16.5,10/23/24
Desmond Bane,MEM,UTA,W,27.08,8,20,0.4,4,10,0.4,4,4,1,0,4,4,4,1,1,1,4,24,16.3,10/23/24
Ty Jerome,CLE,TOR,W,18.95,6,7,0.857,2,2,1,0,0,0,1,1,2,6,2,0,2,1,14,16.3,10/23/24
Taurean Prince,MIL,PHI,W,30.38,6,7,0.857,4,5,0.8,0,0,0,0,5,5,3,0,0,0,2,16,16.3,10/23/24
Jalen Green,HOU,CHO,L,35.45,9,23,0.391,5,15,0.333,5,5,1,0,2,2,0,0,0,0,0,28,16.1,10/23/24
Gary Harris,ORL,MIA,W,21.77,6,9,0.667,6,9,0.667,0,0,0,1,2,3,1,0,2,1,1,18,16.1,10/23/24
Trayce Jackson-Davis,GSW,POR,W,24.62,5,5,1,0,0,0,4,5,0.8,1,3,4,2,1,0,0,1,14,15.7,10/23/24
Myles Turner,IND,DET,W,36.05,7,14,0.5,3,8,0.375,3,3,1,0,9,9,4,0,4,4,4,20,15.7,10/23/24
Dyson Daniels,ATL,BRK,W,34.53,6,12,0.5,2,4,0.5,1,4,0.25,3,2,5,2,5,1,1,4,15,15,10/23/24
Chris Boucher,TOR,CLE,L,19.98,5,9,0.556,4,5,0.8,4,6,0.667,1,1,2,1,1,1,1,1,18,14.9,10/23/24
Tyus Jones,PHO,LAC,W,35.08,5,10,0.5,1,5,0.2,0,0,0,0,2,2,8,2,1,0,0,11,14.9,10/23/24
James Harden,LAC,PHO,L,39.87,10,28,0.357,2,9,0.222,7,9,0.778,3,9,12,8,1,0,8,3,29,14.8,10/23/24
T.J. McConnell,IND,DET,W,15.8,7,8,0.875,0,0,0,0,0,0,0,2,2,4,1,0,1,0,14,14.6,10/23/24
Jalen Smith,CHI,NOP,L,17.3,5,8,0.625,1,3,0.333,4,4,1,3,2,5,0,1,0,0,2,15,14.3,10/23/24
Andrew Wiggins,GSW,POR,W,23.07,8,15,0.533,4,7,0.571,0,0,0,2,2,4,2,0,0,1,2,20,14.3,10/23/24
Terry Rozier,MIA,ORL,L,32.05,5,15,0.333,2,7,0.286,7,7,1,0,6,6,5,0,2,3,0,19,14.2,10/23/24
