Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Paul George,PHI,LAL,L,24.95,4,13,0.308,0,6,0,1,2,0.5,1,3,4,8,1,0,0,2,9,8.5,11/8/24
Andrew Wiggins,GSW,CLE,L,20.82,4,9,0.444,1,3,0.333,2,2,1,1,0,1,2,1,0,1,0,11,8.4,11/8/24
Tyler Kolek,NYK,MIL,W,16.23,3,5,0.6,2,4,0.5,0,0,0,2,2,4,2,1,0,1,2,8,8.3,11/8/24
Tyler Smith,MIL,NYK,L,8.38,4,5,0.8,1,2,0.5,1,2,0.5,0,2,2,0,0,2,1,1,10,8.3,11/8/24
Fred VanVleet,HOU,OKC,L,30.43,4,9,0.444,2,4,0.5,1,2,0.5,1,2,3,2,1,0,1,1,11,8.2,11/8/24
Garrison Mathews,ATL,DET,L,27.35,2,5,0.4,1,4,0.25,3,3,1,1,1,2,1,1,0,0,0,8,8,11/8/24
Gary Payton,GSW,CLE,L,9.8,4,4,1,0,0,0,0,1,0,1,1,2,1,0,1,0,2,8,8,11/8/24
Sam Hauser,BOS,BRK,W,35.22,3,11,0.273,2,10,0.2,0,0,0,1,3,4,3,3,0,0,1,8,7.8,11/8/24
Gary Harris,ORL,NOP,W,19.48,2,3,0.667,1,2,0.5,2,3,0.667,1,0,1,2,0,1,0,1,7,7.7,11/8/24
Luke Kennard,MEM,WAS,W,18.6,4,7,0.571,3,5,0.6,0,0,0,1,2,3,3,0,0,3,1,11,7.7,11/8/24
Myles Turner,IND,CHO,L,31.88,5,13,0.385,1,3,0.333,1,4,0.25,4,6,10,1,1,2,3,2,12,7.6,11/8/24
Jerami Grant,POR,MIN,L,26.93,4,10,0.4,2,4,0.5,2,3,0.667,0,1,1,0,0,2,0,1,12,7.5,11/8/24
Bradley Beal,PHO,DAL,W,36.43,6,17,0.353,1,7,0.143,2,2,1,2,2,4,3,0,0,1,3,15,7.4,11/8/24
Jalen Green,HOU,OKC,L,27.7,5,14,0.357,2,8,0.25,2,2,1,0,4,4,2,0,0,1,1,14,7.4,11/8/24
Tim Hardaway,DET,ATL,W,29.22,2,4,0.5,1,2,0.5,2,4,0.5,0,5,5,4,3,0,3,3,7,7.3,11/8/24
Dean Wade,CLE,GSW,W,18.33,1,1,1,1,1,1,0,0,0,1,5,6,2,0,2,0,1,3,7.3,11/8/24
Tyrese Haliburton,IND,CHO,L,34.23,2,11,0.182,0,4,0,2,2,1,1,6,7,9,1,1,2,1,6,7.2,11/8/24
Onyeka Okongwu,ATL,DET,L,16.82,4,7,0.571,0,1,0,0,0,0,2,3,5,3,0,1,1,4,8,7.2,11/8/24
Ziaire Williams,BRK,BOS,L,23.27,4,11,0.364,0,3,0,1,2,0.5,4,8,12,1,0,0,0,3,9,7.2,11/8/24
Rob Dillingham,MIN,POR,W,5.7,3,3,1,1,1,1,0,0,0,0,3,3,2,0,0,1,1,7,7,11/8/24
Nic Claxton,BRK,BOS,L,28,1,3,0.333,0,0,0,0,0,0,1,9,10,3,0,2,0,1,2,6.8,11/8/24
Keegan Murray,SAC,LAC,L,39.27,2,10,0.2,0,6,0,3,3,1,4,6,10,2,0,1,0,2,7,6.7,11/8/24
Brandon Clarke,MEM,WAS,W,18.23,3,5,0.6,0,1,0,0,0,0,0,4,4,0,2,0,0,1,6,6.5,11/8/24
Bilal Coulibaly,WAS,MEM,L,31.33,4,9,0.444,0,3,0,2,2,1,1,2,3,3,2,2,4,4,10,6.5,11/8/24
Cason Wallace,OKC,HOU,W,22.87,2,4,0.5,0,1,0,0,0,0,3,2,5,1,1,1,0,2,4,6.3,11/8/24
Moussa Diabaté,CHO,IND,W,28.98,0,1,0,0,0,0,0,0,0,4,11,15,0,1,3,2,1,0,6.1,11/8/24
Draymond Green,GSW,CLE,L,20.53,2,7,0.286,2,5,0.4,0,0,0,0,2,2,6,3,0,2,4,6,6.1,11/8/24
Anfernee Simons,POR,MIN,L,26.78,6,16,0.375,2,7,0.286,0,0,0,0,1,1,2,1,0,1,2,14,6.1,11/8/24
Jeremiah Robinson-Earl,NOP,ORL,L,31.55,4,12,0.333,0,2,0,4,4,1,2,2,4,0,3,0,3,3,12,6,11/8/24
Moses Moody,GSW,CLE,L,16.93,5,10,0.5,1,3,0.333,0,0,0,0,2,2,1,0,0,1,1,11,5.9,11/8/24
Cam Reddish,LAL,PHI,W,27.82,1,1,1,1,1,1,0,0,0,0,5,5,2,1,1,1,1,3,5.9,11/8/24
Jared Butler,WAS,MEM,L,14.05,2,9,0.222,0,2,0,1,2,0.5,1,2,3,6,2,0,0,2,5,5.8,11/8/24
Anthony Gill,WAS,MEM,L,4.53,2,2,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,5,5.7,11/8/24
Neemias Queta,BOS,BRK,W,26.55,1,2,0.5,0,0,0,1,2,0.5,1,9,10,2,0,3,2,2,3,5.7,11/8/24
Clint Capela,ATL,DET,L,18.67,3,10,0.3,0,0,0,1,4,0.25,7,5,12,2,0,0,2,1,7,5.4,11/8/24
Reed Sheppard,HOU,OKC,L,18.55,2,2,1,0,0,0,0,0,0,0,2,2,4,0,0,1,1,4,5.4,11/8/24
Deni Avdija,POR,MIN,L,23.45,4,9,0.444,0,2,0,1,3,0.333,1,4,5,1,1,0,1,2,9,5.3,11/8/24
Dwight Powell,DAL,PHO,L,24.85,1,1,1,0,0,0,2,2,1,1,5,6,1,0,1,0,5,4,5.3,11/8/24
Hunter Tyson,DEN,MIA,W,9.32,3,3,1,1,1,1,0,0,0,1,1,2,0,0,0,1,2,7,5.3,11/8/24
Grant Williams,CHO,IND,W,30.67,3,8,0.375,0,5,0,2,2,1,2,7,9,1,1,1,3,3,8,5.3,11/8/24
Jaylen Nowell,NOP,ORL,L,13.2,4,9,0.444,1,4,0.25,1,1,1,0,0,0,1,0,0,1,0,10,5,11/8/24
Trayce Jackson-Davis,GSW,CLE,L,16.18,1,3,0.333,0,0,0,1,1,1,2,3,5,4,0,1,1,3,3,4.9,11/8/24
Kyle Lowry,PHI,LAL,L,31.57,1,7,0.143,1,6,0.167,2,2,1,0,3,3,6,0,1,1,1,5,4.9,11/8/24
Georges Niang,CLE,GSW,W,14.37,3,4,0.75,1,2,0.5,0,0,0,0,2,2,1,0,0,1,2,7,4.9,11/8/24
Klay Thompson,DAL,PHO,L,33.77,4,13,0.308,1,7,0.143,3,3,1,0,4,4,2,0,0,1,3,12,4.9,11/8/24
De'Anthony Melton,GSW,CLE,L,17.8,4,11,0.364,2,6,0.333,0,0,0,2,0,2,3,0,0,1,4,10,4.8,11/8/24
Jae'Sean Tate,HOU,OKC,L,6.05,2,3,0.667,0,1,0,2,3,0.667,2,3,5,0,1,0,2,2,6,4.8,11/8/24
Stephen Curry,GSW,CLE,L,23.77,5,10,0.5,1,4,0.25,1,1,1,0,1,1,2,2,0,6,0,12,4.7,11/8/24
Donovan Clingan,POR,MIN,L,18.57,3,7,0.429,0,0,0,0,0,0,1,2,3,0,0,2,0,1,6,4.6,11/8/24
Pelle Larsson,MIA,DEN,L,14.03,1,1,1,1,1,1,2,4,0.5,0,2,2,2,0,0,1,1,5,4.5,11/8/24
A.J. Green,MIL,NYK,L,24.97,3,6,0.5,3,6,0.5,0,0,0,0,0,0,0,0,0,0,4,9,4.4,11/8/24
Jaylen Wells,MEM,WAS,W,24.85,4,10,0.4,1,4,0.25,2,3,0.667,0,0,0,1,1,1,2,3,11,4.4,11/8/24
Richaun Holmes,WAS,MEM,L,4.53,3,5,0.6,0,1,0,0,0,0,1,1,2,0,0,0,0,1,6,4.3,11/8/24
Brook Lopez,MIL,NYK,L,24.47,3,5,0.6,0,1,0,1,2,0.5,2,1,3,1,0,0,2,1,7,4.3,11/8/24
Kris Murray,POR,MIN,L,6.97,2,4,0.5,0,1,0,0,0,0,1,1,2,1,1,0,0,1,4,4.3,11/8/24
Ryan Rollins,MIL,NYK,L,12.2,3,5,0.6,1,2,0.5,0,0,0,0,1,1,3,1,0,3,2,7,4.3,11/8/24
Zaccharie Risacher,ATL,DET,L,25.07,2,7,0.286,0,3,0,3,4,0.75,4,1,5,3,0,1,3,3,7,4.2,11/8/24
MarJon Beauchamp,MIL,NYK,L,8.38,1,3,0.333,0,0,0,2,2,1,1,1,2,1,0,0,0,0,4,4,11/8/24
Spencer Dinwiddie,DAL,PHO,L,28.35,1,2,0.5,1,1,1,0,0,0,0,0,0,2,1,0,0,1,3,4,11/8/24
Jericho Sims,NYK,MIL,W,15.95,1,2,0.5,0,0,0,0,0,0,4,1,5,1,1,0,1,2,2,4,11/8/24
Rui Hachimura,LAL,PHI,W,32.83,3,8,0.375,3,6,0.5,0,0,0,1,3,4,1,0,0,1,5,9,3.9,11/8/24
Sam Merrill,CLE,GSW,W,14.6,1,4,0.25,1,4,0.25,2,2,1,0,2,2,1,0,0,0,0,5,3.9,11/8/24
Jarace Walker,IND,CHO,L,17.83,2,5,0.4,0,1,0,1,1,1,0,2,2,3,0,1,1,2,5,3.9,11/8/24
John Konchar,MEM,WAS,W,20.3,0,2,0,0,2,0,0,0,0,2,0,2,2,1,2,0,0,0,3.8,11/8/24
Adem Bona,PHI,LAL,L,2.3,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,3,3.7,11/8/24
Aaron Holiday,HOU,OKC,L,5.95,1,2,0.5,0,0,0,1,1,1,0,1,1,2,0,0,0,0,3,3.7,11/8/24
Jaden McDaniels,MIN,POR,W,26.62,2,8,0.25,1,2,0.5,0,0,0,0,3,3,2,2,0,0,2,5,3.7,11/8/24
Lester Quiñones,PHI,LAL,L,2.3,1,1,1,0,0,0,1,1,1,1,1,2,0,0,0,0,0,3,3.7,11/8/24
Kyle Anderson,GSW,CLE,L,14.1,2,5,0.4,0,2,0,0,0,0,0,3,3,2,0,1,0,2,4,3.5,11/8/24
Kelly Oubre,PHI,LAL,L,30.33,4,16,0.25,0,4,0,1,2,0.5,3,3,6,2,0,0,0,0,9,3.4,11/8/24
Gui Santos,GSW,CLE,L,4.73,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,3,3.4,11/8/24
Alex Sarr,WAS,MEM,L,24.52,3,11,0.273,0,5,0,2,2,1,2,3,5,5,1,1,4,4,8,3.4,11/8/24
Josh Okogie,PHO,DAL,W,5.27,2,3,0.667,1,2,0.5,1,2,0.5,0,0,0,0,0,0,1,0,6,3.3,11/8/24
Kevin Porter,LAC,SAC,W,18.55,5,9,0.556,0,1,0,1,1,1,0,0,0,0,1,0,4,1,11,3.3,11/8/24
Donovan Mitchell,CLE,GSW,W,26.43,4,13,0.308,2,7,0.286,2,2,1,0,5,5,4,0,0,4,4,12,3.2,11/8/24
David Roddy,ATL,DET,L,15.95,1,1,1,1,1,1,0,0,0,0,5,5,3,1,0,3,3,3,3.1,11/8/24
Dorian Finney-Smith,BRK,BOS,L,31.08,2,6,0.333,1,3,0.333,0,0,0,2,3,5,2,0,1,1,5,5,3,11/8/24
Steven Adams,HOU,OKC,L,15.52,2,2,1,0,0,0,1,3,0.333,1,1,2,1,1,0,3,1,5,2.9,11/8/24
Deandre Ayton,POR,MIN,L,17.9,2,6,0.333,0,1,0,0,0,0,2,4,6,0,1,0,1,1,4,2.8,11/8/24
Jalen Suggs,ORL,NOP,W,32.72,3,9,0.333,1,6,0.167,0,0,0,0,6,6,3,1,2,5,1,7,2.8,11/8/24
Luka Garza,MIN,POR,W,4.87,3,6,0.5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6,2.6,11/8/24
Ron Holland,DET,ATL,W,13.62,2,5,0.4,0,1,0,1,1,1,1,0,1,0,0,0,0,1,5,2.6,11/8/24
Quenton Jackson,IND,CHO,L,19.78,3,7,0.429,1,3,0.333,0,0,0,0,2,2,2,0,0,2,2,7,2.5,11/8/24
Jalen Wilson,BRK,BOS,L,24.65,3,10,0.3,0,4,0,2,2,1,1,1,2,1,0,0,1,1,8,2.5,11/8/24
Brandon Ingram,NOP,ORL,L,26.3,4,12,0.333,1,4,0.25,2,2,1,1,4,5,5,0,0,6,3,11,2.4,11/8/24
Terance Mann,LAC,SAC,W,22.2,0,4,0,0,2,0,2,2,1,1,4,5,3,0,0,0,2,2,2.4,11/8/24
Mason Plumlee,PHO,DAL,W,14.32,2,2,1,0,0,0,0,2,0,0,2,2,0,0,0,0,2,4,2.4,11/8/24
Craig Porter,CLE,GSW,W,3.43,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2.4,11/8/24
Liam Robbins,MIL,NYK,L,8.38,1,2,0.5,0,1,0,0,0,0,2,1,3,0,0,0,0,1,2,2.3,11/8/24
Jimmy Butler,MIA,DEN,L,6.73,1,2,0.5,0,1,0,0,0,0,1,0,1,2,0,0,1,0,2,2.1,11/8/24
Antonio Reeves,NOP,ORL,L,18.35,1,5,0.2,1,3,0.333,0,0,0,0,3,3,1,1,0,0,1,3,2.1,11/8/24
Terrence Shannon,MIN,POR,W,4.12,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2.1,11/8/24
PJ Dozier,MIN,POR,W,4.12,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,0,2,11/8/24
Cory Joseph,ORL,NOP,W,2.22,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,3,2,11/8/24
Matt Ryan,NYK,MIL,W,6.13,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,3,2,11/8/24
Daniel Theis,NOP,ORL,L,12.12,1,3,0.333,0,0,0,0,0,0,1,0,1,2,0,0,0,1,2,2,11/8/24
Ricky Council,PHI,LAL,L,15.17,0,4,0,0,1,0,2,2,1,1,2,3,2,0,0,0,0,2,1.9,11/8/24
Quentin Grimes,DAL,PHO,L,9.35,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1.9,11/8/24
Kevin Huerter,SAC,LAC,L,19.98,2,5,0.4,0,3,0,0,0,0,0,2,2,1,0,0,0,2,4,1.8,11/8/24
Tristan Da Silva,ORL,NOP,W,26.67,3,11,0.273,1,7,0.143,0,0,0,0,3,3,1,0,0,0,1,7,1.7,11/8/24
Jeff Dowtin,PHI,LAL,L,2.93,1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.7,11/8/24
Jeff Green,HOU,OKC,L,3.8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1.7,11/8/24
Jack McVeigh,HOU,OKC,L,6.05,1,2,0.5,1,2,0.5,0,0,0,0,2,2,0,0,0,1,0,3,1.6,11/8/24
Taj Gibson,CHO,IND,W,12.92,1,1,1,0,0,0,0,0,0,0,3,3,1,0,0,1,2,2,1.5,11/8/24
Andre Jackson,MIL,NYK,L,17.53,1,3,0.333,1,3,0.333,0,0,0,0,0,0,1,0,1,1,1,3,1.3,11/8/24
Josh Minott,MIN,POR,W,12.9,1,2,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1.3,11/8/24
Rayan Rupert,POR,MIN,L,6.97,1,2,0.5,1,1,1,0,0,0,0,1,1,0,0,0,1,0,3,1.3,11/8/24
Obi Toppin,IND,CHO,L,20.62,1,4,0.25,0,2,0,0,0,0,1,1,2,1,1,0,1,0,2,1.3,11/8/24
Yuki Kawamura,MEM,WAS,W,4.65,1,3,0.333,1,2,0.5,0,0,0,0,2,2,1,0,0,1,1,3,1.2,11/8/24
Yves Missi,NOP,ORL,L,19.75,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,1.2,11/8/24
Pat Connaughton,MIL,NYK,L,16.15,1,4,0.25,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,11/8/24
Jabari Smith,HOU,OKC,L,16.7,2,7,0.286,0,1,0,0,1,0,1,0,1,0,0,1,0,0,4,0.9,11/8/24
Jordan Poole,WAS,MEM,L,22.55,3,10,0.3,2,4,0.5,2,2,1,1,1,2,1,0,0,4,3,10,0.7,11/8/24
Taurean Prince,MIL,NYK,L,27.62,1,4,0.25,1,3,0.333,0,0,0,0,5,5,2,0,0,2,2,3,0.7,11/8/24
Thomas Bryant,MIA,DEN,L,7.03,0,1,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6,11/8/24
Christian Koloko,LAL,PHI,W,1.47,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0.6,11/8/24
Lindy Waters,GSW,CLE,L,4.73,1,2,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0.6,11/8/24
Alex Len,SAC,LAC,L,8.82,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0.5,11/8/24
Shaedon Sharpe,POR,MIN,L,20.73,2,8,0.25,0,4,0,2,3,0.667,0,2,2,2,0,0,2,1,6,0.4,11/8/24
Keaton Wallace,ATL,DET,L,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0.4,11/8/24
Colin Castleton,MEM,WAS,W,2.17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,11/8/24
Max Christie,LAL,PHI,W,1.47,1,3,0.333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,11/8/24
Pacome Dadiet,NYK,MIL,W,4.87,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.3,11/8/24
Enrique Freeman,IND,CHO,L,8.95,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3,11/8/24
Caleb Houstan,ORL,NOP,W,3.03,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.3,11/8/24
Zeke Nnaji,DEN,MIA,W,3.13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,11/8/24
Josh Green,CHO,IND,W,18.65,1,2,0.5,0,1,0,0,0,0,1,0,1,0,0,1,1,3,2,0.2,11/8/24
Malevy Leons,OKC,HOU,W,3.88,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,1,1,0.2,11/8/24
Julian Strawther,DEN,MIA,W,24.07,3,8,0.375,0,3,0,0,0,0,0,1,1,0,0,1,2,1,6,0.2,11/8/24
Johnny Davis,WAS,MEM,L,14.17,1,5,0.2,1,1,1,0,0,0,1,1,2,0,0,0,0,2,3,0.1,11/8/24
Kris Dunn,LAC,SAC,W,18.13,0,1,0,0,1,0,0,0,0,1,2,3,1,0,0,0,3,0,0.1,11/8/24
Keon Ellis,SAC,LAC,L,19.35,1,3,0.333,1,3,0.333,0,0,0,0,1,1,1,0,0,1,3,3,0.1,11/8/24
Buddy Hield,GSW,CLE,L,19.35,1,4,0.25,1,4,0.25,0,0,0,0,2,2,1,0,0,1,2,3,0.1,11/8/24
Paul Reed,DET,ATL,W,15.1,2,6,0.333,1,1,1,0,0,0,0,1,1,0,1,0,2,2,5,0.1,11/8/24
Jaden Hardy,DAL,PHO,L,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/8/24
Jalen Hood-Schifino,LAL,PHI,W,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/8/24
Bronny James,LAL,PHI,W,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/8/24
Bobby Portis,MIL,NYK,L,16.9,1,8,0.125,0,3,0,2,2,1,2,3,5,1,0,0,1,2,4,0,11/8/24
Jabari Walker,POR,MIN,L,4.87,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,11/8/24
Grayson Allen,PHO,DAL,W,18.57,0,4,0,0,3,0,0,0,0,2,1,3,0,2,0,1,0,0,-0.1,11/8/24
Jordan Walsh,BOS,BRK,W,10.53,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,-0.1,11/8/24
Javonte Green,NOP,ORL,L,24.08,1,6,0.167,1,2,0.5,0,0,0,0,1,1,1,0,0,0,1,3,-0.2,11/8/24
Gabe Vincent,LAL,PHI,W,15.67,1,2,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,-0.2,11/8/24
Seth Curry,CHO,IND,W,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,11/8/24
Johnny Furphy,IND,CHO,L,3.88,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,11/8/24
Reggie Jackson,PHI,LAL,L,10.95,1,6,0.167,1,4,0.25,0,0,0,0,2,2,2,0,0,0,4,3,-0.4,11/8/24
Maxwell Lewis,LAL,PHI,W,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,11/8/24
Olivier-Maxence Prosper,DAL,PHO,L,3.27,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,11/8/24
Jared Rhoden,CHO,IND,W,1.23,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,11/8/24
Ben Sheppard,IND,CHO,L,30.97,1,7,0.143,0,4,0,0,0,0,0,3,3,3,1,0,0,5,2,-0.5,11/8/24
Mike Conley,MIN,POR,W,18.3,1,7,0.143,0,4,0,0,0,0,0,1,1,2,1,0,0,2,2,-0.6,11/8/24
Tidjane Salaün ,CHO,IND,W,21.48,1,6,0.167,0,3,0,0,0,0,3,4,7,1,0,0,2,2,2,-0.6,11/8/24
Patrick Baldwin,WAS,MEM,L,4.53,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,11/8/24
James Johnson,IND,CHO,L,2.18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,11/8/24
Nick Smith,CHO,IND,W,1.23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,11/8/24
Tristan Thompson,CLE,GSW,W,3.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,11/8/24
Ousmane Dieng,OKC,HOU,W,5.6,0,2,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0,0,-0.8,11/8/24
Ariel Hukporti,NYK,MIL,W,3.23,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,-0.9,11/8/24
Keon Johnson,BRK,BOS,L,15.65,1,6,0.167,0,3,0,1,1,1,1,1,2,1,0,0,1,2,3,-0.9,11/8/24
Dillon Jones,OKC,HOU,W,11.87,1,6,0.167,0,5,0,0,0,0,0,2,2,0,1,1,1,1,2,-0.9,11/8/24
Stanley Umude,MIL,NYK,L,8.38,0,2,0,0,2,0,0,2,0,0,2,2,1,0,0,0,0,0,-0.9,11/8/24
Nicolas Batum,LAC,SAC,W,11.38,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,1,4,0,-1,11/8/24
Jett Howard,ORL,NOP,W,4.28,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1,11/8/24
Jamal Cain,NOP,ORL,L,8.85,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,3,0,-1.3,11/8/24
Jock Landale,HOU,OKC,L,6.05,0,1,0,0,1,0,0,2,0,0,2,2,0,0,0,0,1,0,-1.3,11/8/24
Trey Lyles,SAC,LAC,L,6.62,0,3,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,-1.5,11/8/24
Kel'el Ware,MIA,DEN,L,2.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1.5,11/8/24
Toumani Camara,POR,MIN,L,25.42,1,3,0.333,0,2,0,1,2,0.5,2,3,5,0,2,1,6,4,3,-1.7,11/8/24
Kessler Edwards,DAL,PHO,L,1.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.7,11/8/24
Dalton Knecht,LAL,PHI,W,16.17,1,8,0.125,0,5,0,0,0,0,0,4,4,0,0,0,0,0,2,-2,11/8/24
Xavier Tillman,BOS,BRK,W,5.87,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1,11/8/24
Jaylon Tyson,CLE,GSW,W,3.43,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.4,11/8/24
Luguentz Dort,OKC,HOU,W,18.98,1,7,0.143,1,5,0.2,0,0,0,0,0,0,1,0,0,1,3,3,-3,11/8/24
Trey Jemison,NOP,ORL,L,12.78,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,2,5,0,-3.4,11/8/24
Evan Mobley,CLE,BRK,W,35.25,10,11,0.909,1,1,1,2,5,0.4,3,13,16,1,4,1,4,1,23,25.1,11/9/24
Ochai Agbaji,TOR,LAC,L,36.18,9,14,0.643,3,6,0.5,0,0,0,2,5,7,3,2,0,0,3,21,20.6,11/9/24
Victor Wembanyama,SAS,UTA,L,32.68,8,15,0.533,6,9,0.667,2,2,1,3,13,16,0,0,7,6,3,24,20.4,11/9/24
Cameron Johnson,BRK,CLE,L,31.3,8,13,0.615,4,7,0.571,3,3,1,1,4,5,1,0,0,0,0,23,19.7,11/9/24
James Harden,LAC,TOR,W,34.15,5,17,0.294,2,8,0.25,12,13,0.923,1,11,12,7,1,0,4,2,24,18.8,11/9/24
Clint Capela,ATL,CHI,L,25.58,8,14,0.571,0,0,0,4,4,1,5,4,9,1,0,1,1,2,20,17.7,11/9/24
Dennis Schröder,BRK,CLE,L,37.42,7,14,0.5,4,8,0.5,4,4,1,1,1,2,5,0,0,1,2,22,17.7,11/9/24
Jalen Johnson,ATL,CHI,L,34.12,6,11,0.545,3,6,0.5,5,6,0.833,1,5,6,5,1,1,3,3,20,17.5,11/9/24
Norman Powell,LAC,TOR,W,35.05,7,14,0.5,3,6,0.5,7,9,0.778,0,3,3,3,1,1,3,2,24,17.1,11/9/24
Collin Sexton,UTA,SAS,W,28.95,8,13,0.615,1,3,0.333,6,7,0.857,1,3,4,2,2,0,3,4,23,17.1,11/9/24
Dyson Daniels,ATL,CHI,L,36.12,7,15,0.467,0,3,0,2,4,0.5,1,7,8,3,6,0,1,1,16,17,11/9/24
Darius Garland,CLE,BRK,W,32.27,8,11,0.727,2,5,0.4,2,2,1,0,1,1,6,1,0,3,3,20,16.8,11/9/24
Stephon Castle,SAS,UTA,L,34.6,8,16,0.5,3,7,0.429,4,5,0.8,0,2,2,3,2,0,1,4,23,16.7,11/9/24
Lauri Markkanen,UTA,SAS,W,36.13,5,15,0.333,3,7,0.429,7,8,0.875,2,4,6,4,2,0,1,2,20,16.7,11/9/24
Ayo Dosunmu,CHI,ATL,W,30.6,7,10,0.7,2,3,0.667,3,3,1,0,2,2,4,0,1,2,1,19,16.5,11/9/24
Nikola Vučević,CHI,ATL,W,31.45,8,13,0.615,2,4,0.5,0,0,0,2,10,12,1,2,0,2,2,18,16.4,11/9/24
Donovan Mitchell,CLE,BRK,W,34.53,5,12,0.417,4,6,0.667,8,8,1,0,1,1,1,1,0,1,2,22,15.8,11/9/24
Ivica Zubac,LAC,TOR,W,38.33,7,12,0.583,0,0,0,0,0,0,2,10,12,1,2,3,1,3,14,15.4,11/9/24
Zach LaVine,CHI,ATL,W,31.58,7,12,0.583,1,5,0.2,3,4,0.75,0,2,2,7,1,0,3,1,18,15.1,11/9/24
Coby White,CHI,ATL,W,32.92,6,14,0.429,2,9,0.222,4,4,1,0,4,4,5,3,0,2,3,18,15.1,11/9/24
Immanuel Quickley,TOR,LAC,L,26.12,8,18,0.444,3,8,0.375,2,2,1,1,2,3,4,1,0,1,2,21,14.9,11/9/24
Keldon Johnson,SAS,UTA,L,30.28,4,10,0.4,1,6,0.167,5,6,0.833,1,3,4,5,2,2,1,3,14,14.5,11/9/24
Josh Giddey,CHI,ATL,W,25.38,5,9,0.556,1,1,1,2,2,1,2,4,6,7,2,0,3,2,13,14.4,11/9/24
